start_time,end_time,wav_file,emotion,val,act,dom
4.1,10.68,Ses03F_impro01_F000,xxx,2.6667,3.6667,3.3333
10.73,13.92,Ses03F_impro01_F001,xxx,3.0,3.3333,2.6667
18.22,20.075,Ses03F_impro01_F002,neu,2.6667,2.3333,2.3333
27.205,32.43,Ses03F_impro01_F003,fru,2.3333,3.6667,3.6667
32.47,36.102,Ses03F_impro01_F004,fru,3.0,3.3333,2.6667
40.1,43.22,Ses03F_impro01_F005,fru,2.0,3.6667,4.0
43.24,48.4375,Ses03F_impro01_F006,fru,2.0,4.3333,3.6667
50.275,55.09,Ses03F_impro01_F007,fru,2.0,3.6667,3.3333
55.2125,56.3125,Ses03F_impro01_F008,fru,2.0,3.3333,2.0
66.26,72.37,Ses03F_impro01_F009,fru,2.0,4.0,2.3333
74.345,78.9025,Ses03F_impro01_F010,xxx,2.0,4.3333,3.6667
80.19,82.3875,Ses03F_impro01_F011,fru,3.3333,3.3333,2.0
13.17,14.4141,Ses03F_impro01_M000,xxx,3.0,2.3333,2.3333
14.52,18.7025,Ses03F_impro01_M001,neu,2.6667,2.3333,2.0
20.28,27.9575,Ses03F_impro01_M002,neu,3.0,2.6667,3.3333
31.3775,32.68,Ses03F_impro01_M003,neu,3.0,3.0,3.0
36.7475,39.12,Ses03F_impro01_M004,neu,3.0,2.0,2.6667
39.21,40.8066,Ses03F_impro01_M005,neu,3.0,2.6667,2.6667
49.935,51.5625,Ses03F_impro01_M006,fru,3.0,2.6667,2.3333
52.6325,54.3375,Ses03F_impro01_M007,fru,2.3333,3.6667,3.6667
54.9204,60.97,Ses03F_impro01_M008,fru,2.6667,2.6667,3.3333
61.02,67.67,Ses03F_impro01_M009,fru,3.0,3.3333,3.3333
71.91,75.3975,Ses03F_impro01_M010,xxx,2.6667,2.3333,3.6667
78.2775,81.2325,Ses03F_impro01_M011,xxx,2.0,3.6667,4.3333
7.63,9.54,Ses03F_impro02_F000,neu,4.0,2.5,1.0
12.19,13.21,Ses03F_impro02_F001,neu,3.5,2.0,1.0
13.86,15.4425,Ses03F_impro02_F002,xxx,3.0,1.5,1.0
16.235,25.71,Ses03F_impro02_F003,xxx,3.5,3.0,1.0
28.8225,30.34,Ses03F_impro02_F004,xxx,3.0,2.5,1.5
