start_time,end_time,wav_file,emotion,val,act,dom
6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5
10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5
14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5
19.29,20.7875,Ses01F_impro01_F003,xxx,2.5,3.0,3.0
21.3257,24.74,Ses01F_impro01_F004,xxx,2.5,3.0,2.5
27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2.0
38.965,43.59,Ses01F_impro01_F006,fru,2.0,3.5,3.5
46.58,52.19,Ses01F_impro01_F007,fru,2.5,3.5,3.5
56.16,58.8225,Ses01F_impro01_F008,fru,2.0,3.5,3.5
61.87,65.97,Ses01F_impro01_F009,fru,2.0,3.5,3.0
66.42,69.34,Ses01F_impro01_F010,xxx,1.5,3.5,3.5
72.45,82.26,Ses01F_impro01_F011,fru,2.0,3.5,3.5
85.27,88.02,Ses01F_impro01_F012,ang,2.0,3.5,3.5
93.67,97.0218,Ses01F_impro01_F013,fru,2.0,4.0,3.5
97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5
103.97,106.71,Ses01F_impro01_F015,fru,2.0,3.5,3.0
7.5712,10.475,Ses01F_impro01_M000,fru,2.5,2.0,2.5
10.9266,14.6649,Ses01F_impro01_M001,fru,2.5,2.0,2.5
16.8352,19.7175,Ses01F_impro01_M002,fru,2.0,3.5,3.5
23.47,28.03,Ses01F_impro01_M003,fru,2.5,3.5,3.5
28.395,31.2117,Ses01F_impro01_M004,fru,2.0,4.0,3.5
31.266,39.3875,Ses01F_impro01_M005,fru,2.0,3.5,3.5
41.23,46.98,Ses01F_impro01_M006,fru,2.0,3.5,3.5
51.4,57.64,Ses01F_impro01_M007,fru,2.5,3.5,3.0
58.18,62.59,Ses01F_impro01_M008,fru,2.0,3.5,3.5
65.51,73.0,Ses01F_impro01_M009,fru,2.5,3.5,4.0
81.59,86.03,Ses01F_impro01_M010,fru,2.0,4.5,4.0
