,happy,sad,frustration,exited,anger,neutral,other,file,emo
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ses01F_impro01_F000,neu
1,0.0,0.0,0.0,0.0,0.0,0.8,0.2,Ses01F_impro01_F001,neu
2,0.0,0.0,0.0,0.0,0.0,0.6,0.4,Ses01F_impro01_F002,neu
3,0.0,0.0,0.4,0.0,0.2,0.2,0.2,Ses01F_impro01_F003,xxx
4,0.0,0.0,0.3333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,Ses01F_impro01_F004,xxx
5,0.0,0.0,0.2,0.0,0.0,0.6,0.2,Ses01F_impro01_F005,neu
6,0.0,0.0,0.5,0.0,0.0,0.1666666666666666,0.3333333333333333,Ses01F_impro01_F006,fru
7,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.4285714285714285,Ses01F_impro01_F007,fru
8,0.0,0.0,0.6,0.0,0.2,0.0,0.2,Ses01F_impro01_F008,fru
9,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.4285714285714285,Ses01F_impro01_F009,fru
10,0.0,0.0,0.375,0.0,0.125,0.0,0.5,Ses01F_impro01_F010,xxx
11,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,Ses01F_impro01_F011,fru
12,0.0,0.0,0.1666666666666666,0.0,0.3333333333333333,0.0,0.5,Ses01F_impro01_F012,ang
13,0.0,0.0,0.4285714285714285,0.1428571428571428,0.0,0.0,0.4285714285714285,Ses01F_impro01_F013,fru
14,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.5,Ses01F_impro01_F014,neu
15,0.0,0.0,0.8,0.0,0.0,0.0,0.2,Ses01F_impro01_F015,fru
16,0.0,0.0,0.6,0.0,0.0,0.2,0.2,Ses01F_impro01_M000,fru
17,0.0,0.0,0.75,0.0,0.0,0.0,0.25,Ses01F_impro01_M001,fru
18,0.0,0.0,0.6,0.0,0.2,0.0,0.2,Ses01F_impro01_M002,fru
19,0.0,0.0,0.8,0.0,0.0,0.0,0.2,Ses01F_impro01_M003,fru
20,0.0,0.0,0.6,0.0,0.2,0.0,0.2,Ses01F_impro01_M004,fru
21,0.0,0.0,0.5,0.0,0.1666666666666666,0.0,0.3333333333333333,Ses01F_impro01_M005,fru
22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Ses01F_impro01_M006,fru
23,0.0,0.0,0.75,0.0,0.25,0.0,0.0,Ses01F_impro01_M007,fru
24,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,Ses01F_impro01_M008,fru
25,0.0,0.0,0.6,0.0,0.0,0.2,0.2,Ses01F_impro01_M009,fru
26,0.0,0.0,0.5,0.0,0.1666666666666666,0.0,0.3333333333333333,Ses01F_impro01_M010,fru
27,0.0,0.0,0.3333333333333333,0.0,0.1666666666666666,0.0,0.5,Ses01F_impro01_M011,ang
28,0.0,0.2,0.4,0.0,0.0,0.2,0.2,Ses01F_impro01_M012,xxx
29,0.0,0.0,0.2,0.0,0.6,0.0,0.2,Ses01F_impro01_M013,ang
30,0.0,0.6,0.0,0.0,0.0,0.2,0.2,Ses01F_impro02_F000,sad
31,0.0,0.75,0.0,0.0,0.0,0.25,0.0,Ses01F_impro02_F001,sad
32,0.0,0.3333333333333333,0.1666666666666666,0.0,0.0,0.1666666666666666,0.3333333333333333,Ses01F_impro02_F002,sad
33,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,Ses01F_impro02_F003,neu
34,0.0,0.75,0.0,0.0,0.0,0.25,0.0,Ses01F_impro02_F004,sad
35,0.0,0.75,0.0,0.0,0.0,0.25,0.0,Ses01F_impro02_F005,sad
36,0.0,0.4,0.0,0.0,0.0,0.4,0.2,Ses01F_impro02_F006,neu
37,0.0,0.1666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333,Ses01F_impro02_F007,xxx
38,0.0,0.1428571428571428,0.2857142857142857,0.0,0.0,0.1428571428571428,0.4285714285714285,Ses01F_impro02_F008,sad
39,0.0,0.2,0.0,0.0,0.0,0.4,0.4,Ses01F_impro02_F009,xxx
40,0.0,0.75,0.25,0.0,0.0,0.0,0.0,Ses01F_impro02_F010,sad
41,0.0,0.5,0.25,0.0,0.0,0.25,0.0,Ses01F_impro02_F011,xxx
42,0.0,0.75,0.0,0.0,0.0,0.25,0.0,Ses01F_impro02_F012,sad
43,0.0,0.8,0.0,0.0,0.0,0.0,0.2,Ses01F_impro02_F013,sad
44,0.0,0.8,0.0,0.0,0.0,0.0,0.2,Ses01F_impro02_F014,sad
45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Ses01F_impro02_F015,sad
46,0.0,0.5,0.0,0.0,0.0,0.5,0.0,Ses01F_impro02_F016,neu
47,0.0,0.8,0.0,0.0,0.0,0.0,0.2,Ses01F_impro02_F017,sad
48,0.0,0.5,0.0,0.0,0.0,0.5,0.0,Ses01F_impro02_F018,neu
49,0.0,0.8,0.0,0.0,0.0,0.0,0.2,Ses01F_impro02_F019,sad
50,0.0,0.8,0.0,0.0,0.0,0.0,0.2,Ses01F_impro02_F020,sad
51,0.0,0.4,0.4,0.0,0.0,0.0,0.2,Ses01F_impro02_M000,xxx
52,0.0,0.4,0.2,0.0,0.0,0.2,0.2,Ses01F_impro02_M001,sad
53,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,0.1666666666666666,0.3333333333333333,Ses01F_impro02_M002,xxx
54,0.0,0.2,0.4,0.0,0.2,0.0,0.2,Ses01F_impro02_M003,fru
55,0.0,0.1666666666666666,0.5,0.0,0.0,0.0,0.3333333333333333,Ses01F_impro02_M004,xxx
56,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,Ses01F_impro02_M005,sad
57,0.0,0.2,0.6,0.0,0.0,0.0,0.2,Ses01F_impro02_M006,xxx
58,0.0,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.0,0.3333333333333333,Ses01F_impro02_M007,xxx
59,0.0,0.25,0.5,0.0,0.0,0.25,0.0,Ses01F_impro02_M008,fru
60,0.0,0.75,0.25,0.0,0.0,0.0,0.0,Ses01F_impro02_M009,sad
61,0.0,0.6,0.2,0.0,0.0,0.0,0.2,Ses01F_impro02_M010,sad
62,0.0,0.75,0.0,0.0,0.0,0.25,0.0,Ses01F_impro02_M011,sad
63,0.0,0.5,0.0,0.0,0.0,0.5,0.0,Ses01F_impro02_M012,neu
64,0.0,0.8,0.0,0.0,0.0,0.0,0.2,Ses01F_impro02_M013,sad
65,0.0,0.75,0.0,0.0,0.0,0.0,0.25,Ses01F_impro02_M014,sad
66,0.0,0.5,0.0,0.0,0.0,0.5,0.0,Ses01F_impro02_M015,neu
67,0.0,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.0,0.3333333333333333,Ses01F_impro02_M016,fru
68,0.6,0.0,0.0,0.2,0.0,0.0,0.2,Ses01F_impro03_F000,hap
